income_group,year,indicator_code,avg_value
Low-income,1990,htn_ctrl_crude,2.154
Low-income,1990,htn_ctrl_std,2.104
Low-income,1990,htn_tx_crude,8.677999999999999
Low-income,1990,htn_tx_std,9.017999999999999
Low-income,1991,diab_tx_crude,17.46881248
Low-income,1991,diab_tx_std,18.118152566
Low-income,1991,htn_ctrl_crude,2.14
Low-income,1991,htn_ctrl_std,2.076
Low-income,1991,htn_tx_crude,8.87
Low-income,1991,htn_tx_std,9.236
Low-income,1992,diab_tx_crude,17.50758105
Low-income,1992,diab_tx_std,18.19012089
Low-income,1992,htn_ctrl_crude,2.142
Low-income,1992,htn_ctrl_std,2.09
Low-income,1992,htn_tx_crude,9.1
Low-income,1992,htn_tx_std,9.502
Low-income,1993,diab_tx_crude,17.561465104
Low-income,1993,diab_tx_std,18.271674412
Low-income,1993,htn_ctrl_crude,2.164
Low-income,1993,htn_ctrl_std,2.1180000000000003
Low-income,1993,htn_tx_crude,9.356
Low-income,1993,htn_tx_std,9.774
Low-income,1994,diab_tx_crude,17.613925853999998
Low-income,1994,diab_tx_std,18.361900778
Low-income,1994,htn_ctrl_crude,2.202
Low-income,1994,htn_ctrl_std,2.166
Low-income,1994,htn_tx_crude,9.644
Low-income,1994,htn_tx_std,10.094
Low-income,1995,diab_tx_crude,17.659697532
Low-income,1995,diab_tx_std,18.460842554
Low-income,1995,htn_ctrl_crude,2.274
Low-income,1995,htn_ctrl_std,2.24
Low-income,1995,htn_tx_crude,9.954
Low-income,1995,htn_tx_std,10.412
Low-income,1996,diab_tx_crude,17.72837033
Low-income,1996,diab_tx_std,18.566577412
Low-income,1996,htn_ctrl_crude,2.3480000000000003
Low-income,1996,htn_ctrl_std,2.3280000000000003
Low-income,1996,htn_tx_crude,10.28
Low-income,1996,htn_tx_std,10.784
Low-income,1997,diab_tx_crude,17.809922654
Low-income,1997,diab_tx_std,18.679027182
Low-income,1997,htn_ctrl_crude,2.458
Low-income,1997,htn_ctrl_std,2.44
Low-income,1997,htn_tx_crude,10.63
Low-income,1997,htn_tx_std,11.174000000000001
Low-income,1998,diab_tx_crude,17.892854806
Low-income,1998,diab_tx_std,18.797816676
Low-income,1998,htn_ctrl_crude,2.576
Low-income,1998,htn_ctrl_std,2.5580000000000003
Low-income,1998,htn_tx_crude,11.0
Low-income,1998,htn_tx_std,11.592
Low-income,1999,diab_tx_crude,17.98118152
Low-income,1999,diab_tx_std,18.923040478
Low-income,1999,htn_ctrl_crude,2.7119999999999997
Low-income,1999,htn_ctrl_std,2.71
Low-income,1999,htn_tx_crude,11.404000000000002
Low-income,1999,htn_tx_std,12.042
Low-income,2000,diab_tx_crude,18.07861324
Low-income,2000,diab_tx_std,19.054302824
Low-income,2000,htn_ctrl_crude,2.862
Low-income,2000,htn_ctrl_std,2.864
Low-income,2000,htn_tx_crude,11.84
Low-income,2000,htn_tx_std,12.508
Low-income,2001,diab_tx_crude,18.181649158
Low-income,2001,diab_tx_std,19.192860242
Low-income,2001,htn_ctrl_crude,3.034
Low-income,2001,htn_ctrl_std,3.052
Low-income,2001,htn_tx_crude,12.306
Low-income,2001,htn_tx_std,13.022
Low-income,2002,diab_tx_crude,18.289068392
Low-income,2002,diab_tx_std,19.337776764
Low-income,2002,htn_ctrl_crude,3.2319999999999998
Low-income,2002,htn_ctrl_std,3.262
Low-income,2002,htn_tx_crude,12.808
Low-income,2002,htn_tx_std,13.584000000000001
Low-income,2003,diab_tx_crude,18.401386462
Low-income,2003,diab_tx_std,19.489620194
Low-income,2003,htn_ctrl_crude,3.466
Low-income,2003,htn_ctrl_std,3.492
Low-income,2003,htn_tx_crude,13.332
Low-income,2003,htn_tx_std,14.177999999999999
Low-income,2004,diab_tx_crude,18.518287846
Low-income,2004,diab_tx_std,19.646371074
Low-income,2004,htn_ctrl_crude,3.7119999999999997
Low-income,2004,htn_ctrl_std,3.758
Low-income,2004,htn_tx_crude,13.902000000000001
Low-income,2004,htn_tx_std,14.8
Low-income,2005,diab_tx_crude,18.64224291
Low-income,2005,diab_tx_std,19.805409516
Low-income,2005,htn_ctrl_crude,3.992
Low-income,2005,htn_ctrl_std,4.046
Low-income,2005,htn_tx_crude,14.492
Low-income,2005,htn_tx_std,15.442
Low-income,2006,diab_tx_crude,18.765874386
Low-income,2006,diab_tx_std,19.964410238
Low-income,2006,htn_ctrl_crude,4.282
Low-income,2006,htn_ctrl_std,4.3580000000000005
Low-income,2006,htn_tx_crude,15.074000000000002
Low-income,2006,htn_tx_std,16.088
Low-income,2007,diab_tx_crude,18.887494684
Low-income,2007,diab_tx_std,20.123850328
Low-income,2007,htn_ctrl_crude,4.592
Low-income,2007,htn_ctrl_std,4.69
Low-income,2007,htn_tx_crude,15.662
Low-income,2007,htn_tx_std,16.748
Low-income,2008,diab_tx_crude,19.011406404
Low-income,2008,diab_tx_std,20.284207022
Low-income,2008,htn_ctrl_crude,4.9239999999999995
Low-income,2008,htn_ctrl_std,5.044
Low-income,2008,htn_tx_crude,16.252
Low-income,2008,htn_tx_std,17.408
Low-income,2009,diab_tx_crude,19.139482522
Low-income,2009,diab_tx_std,20.450482694
Low-income,2009,htn_ctrl_crude,5.2620000000000005
Low-income,2009,htn_ctrl_std,5.41
Low-income,2009,htn_tx_crude,16.85
Low-income,2009,htn_tx_std,18.066
Low-income,2010,diab_tx_crude,19.274910582
Low-income,2010,diab_tx_std,20.623235436
Low-income,2010,htn_ctrl_crude,5.636
Low-income,2010,htn_ctrl_std,5.808
Low-income,2010,htn_tx_crude,17.46
Low-income,2010,htn_tx_std,18.748
Low-income,2011,diab_tx_crude,19.418402008
Low-income,2011,diab_tx_std,20.800293919999998
Low-income,2011,htn_ctrl_crude,6.034
Low-income,2011,htn_ctrl_std,6.226
Low-income,2011,htn_tx_crude,18.064
Low-income,2011,htn_tx_std,19.42
Low-income,2012,diab_tx_crude,19.572008298
Low-income,2012,diab_tx_std,20.980264658
Low-income,2012,htn_ctrl_crude,6.45
Low-income,2012,htn_ctrl_std,6.68
Low-income,2012,htn_tx_crude,18.672
Low-income,2012,htn_tx_std,20.102
Low-income,2013,diab_tx_crude,19.738944324
Low-income,2013,diab_tx_std,21.16069696
Low-income,2013,htn_ctrl_crude,6.872000000000001
Low-income,2013,htn_ctrl_std,7.1579999999999995
Low-income,2013,htn_tx_crude,19.28
Low-income,2013,htn_tx_std,20.784000000000002
Low-income,2014,diab_tx_crude,19.911901135999997
Low-income,2014,diab_tx_std,21.338688052000002
Low-income,2014,htn_ctrl_crude,7.334
Low-income,2014,htn_ctrl_std,7.654
Low-income,2014,htn_tx_crude,19.894000000000002
Low-income,2014,htn_tx_std,21.468000000000004
Low-income,2015,diab_tx_crude,20.082117554
Low-income,2015,diab_tx_std,21.512847308
Low-income,2015,htn_ctrl_crude,7.81
Low-income,2015,htn_ctrl_std,8.166
Low-income,2015,htn_tx_crude,20.51
Low-income,2015,htn_tx_std,22.15
